(Intercept):pval	meta$CategoryAmended Cropland:pval	meta$CategoryAmended Grassland:pval	meta$CategoryControl Grassland:pval	(Intercept):pval.padj	meta$CategoryAmended Cropland:pval.padj	meta$CategoryAmended Grassland:pval.padj	meta$CategoryControl Grassland:pval.padj
EC:1.1.1.1	6.41397293415177e-72	0.439049385478106	0.629922755396079	0.716439210099159	1.59623124335689e-68	0.997655153777547	0.999939160546264	1
EC:1.1.1.100	8.26247571765277e-77	0.186072517468407	0.0426854692552755	0.0654096842612221	2.08121195189735e-73	0.989471228271509	0.96044310914286	0.953600956833226
EC:1.1.1.103	6.58062840058159e-63	0.345329296222167	0.697419905328095	0.504884647323119	1.55256585523921e-59	0.987912968281564	1	1
EC:1.1.1.107	6.96903072225337e-21	0.675838957611182	0.0800138325575314	0.108835878217386	1.00048038895093e-17	1	0.916172759143041	0.959012527279142
EC:1.1.1.108	1.77067838975694e-20	0.704017228733376	0.00198903622214865	0.00664479231972671	2.537987692727e-17	1	0.482170254405942	0.623608336062304
EC:1.1.1.119	2.91776566745707e-14	0.615732739064994	0.0811423717770031	0.122003405648099	3.87554855744215e-11	1	0.980693123597257	0.972222361161619
EC:1.1.1.122	0.632524301752248	0.706816221075945	0.666811340463572	0.47598217458307	1	1	1	0.999400463275725
EC:1.1.1.127	9.45567984329038e-46	0.469204779509946	0.2914932655735	0.418344438731439	1.85645656376136e-42	1	1	1
EC:1.1.1.130	3.72098463152781e-11	0.591208763102243	0.1846311233959	0.112387469360002	6.46410679254472e-08	1	0.969589391834941	0.96827237219798
EC:1.1.1.132	1.14239994510449e-33	0.362305160627869	0.0156218998220187	0.0887762003851785	1.89063266950456e-30	1	0.842895657052627	0.997113711873426
EC:1.1.1.133	6.55600514228426e-43	0.297950402734147	0.086280612026148	0.206869759082229	1.22230535198665e-39	1	0.956488727781174	1
EC:1.1.1.135	1.31649899315356e-12	0.520520713616587	0.23106090851212	0.391788411046601	2.40105905123522e-09	0.996069452999415	0.988241560326694	0.99736931339013
EC:1.1.1.136	1.62416484754863e-53	0.141451165515864	0.091217983067986	0.441718205198856	3.49685882273626e-50	0.985654595004658	0.969959506885975	1
EC:1.1.1.140	5.37365291153336e-14	0.734433170223843	0.468090243949727	0.478428964374086	1.04825854593815e-10	0.992660364585956	0.992209161318899	0.988898234177232
EC:1.1.1.157	1.02428001416351e-51	0.345746480653269	0.00313939883815704	0.0227826829665678	2.16854056721539e-48	0.999235262562194	0.651317141423845	0.85383873415921
EC:1.1.1.159	0.000619427850226636	0.683775029509981	0.627342754376268	0.67396921378184	0.220555582129172	1	1	1
EC:1.1.1.16	0.000116273967858067	0.634294219574723	0.453471876540861	0.673315901432695	0.100565830832146	1	1	1
EC:1.1.1.163	8.46334752175133e-29	0.768238303111552	0.128340357665304	0.230665213433798	1.32042398021078e-25	1	0.985369976034926	0.988693077099579
EC:1.1.1.169	1.54328121643213e-53	0.362390315657019	0.245715026077802	0.244212468104903	3.34658039958281e-50	0.996779007838122	1	1
EC:1.1.1.17	4.59897571414292e-12	0.380359080389365	0.752062759806045	0.44734057903881	8.14484861673404e-09	0.993443629834955	1	1
EC:1.1.1.175	2.95550042772597e-13	0.651808089337492	0.0076039230355122	0.00932032689904016	5.57083245852907e-10	1	0.68195045881664	0.727622153579318
EC:1.1.1.179	9.70447652720066e-17	0.652369502131307	0.0326799172175851	0.071129047361662	1.33588023389996e-13	1	0.894612856286605	0.907822920917171
EC:1.1.1.18	3.2334582061875e-58	0.264930223260638	9.63959141541716e-06	8.61992175024556e-05	7.37075214564953e-55	0.992452144129731	0.0225825754531636	0.123711380112036
EC:1.1.1.184	1.76941794549634e-16	0.650657835466595	3.43825544907993e-06	1.23643268418781e-06	3.90423804397244e-13	1	0.00850918558713899	0.00308182167722781
EC:1.1.1.192	0.00116778791197328	0.382535810582308	0.0278181463633093	0.0685260329752774	0.188865838449931	0.998558484862935	0.837940250754075	0.912549617327007
EC:1.1.1.194	4.22058221705157e-13	0.668476713408456	0.475230086287427	0.456874117408779	8.03874179028385e-10	1	0.997957382488527	1
EC:1.1.1.2	4.79604842843858e-27	0.751239700189608	0.0264267127119029	0.0142764105509596	7.39322642662342e-24	1	0.874005615504128	0.72446310714205
EC:1.1.1.201	1.85305069899666e-11	0.63814777443446	0.615864753659116	0.466775552979638	3.2911505437605e-08	1	1	0.996344679323873
EC:1.1.1.202	2.1079306525687e-13	0.628645954550092	0.0919057229644603	0.164482241959646	2.78699024551353e-10	1	0.972693440019315	0.997034327689373
EC:1.1.1.203	7.31388427668374e-16	0.680971292045842	0.244442822220368	0.599677655761869	9.999823643881e-13	1	0.991119094891419	1
EC:1.1.1.205	3.71898932275061e-66	0.0385459457121592	3.40701334488464e-07	1.12602870785145e-05	9.04059226134034e-63	0.963562388030563	0.000833609654203267	0.0263791470039208
EC:1.1.1.215	0.000118534163105073	0.729639411622764	0.0270042965495143	0.0471134243898801	0.0259164695590704	0.99669951513831	0.846539566596205	0.923688055743645
EC:1.1.1.218	2.58628188309906e-13	0.462846336270449	0.614398534895038	0.63999287135679	4.94644351520246e-10	0.997641546967965	1	1
EC:1.1.1.22	6.34399173043244e-59	0.27367696987804	0.158464218651309	0.242951398617698	1.45356634607125e-55	0.983820893585677	0.992653389655061	0.998862734536883
EC:1.1.1.23	4.77477843312342e-52	0.440707530217254	0.110801164185144	0.189649631610073	1.01065443186698e-48	1	0.952861723119198	0.991942704180622
EC:1.1.1.233	1.44659464962338e-10	0.671590046300391	0.647831226866477	0.752034428609844	2.49786836544613e-07	1	1	1
EC:1.1.1.244	7.19934475525865e-28	0.503999884751514	0.278036643884018	0.374380710010154	1.11334487956866e-24	0.996216320946198	0.99253185168401	0.997750491149759
EC:1.1.1.25	1.90976394156177e-50	0.400947582396017	0.0290278541282267	0.016749906234348	3.96971837989621e-47	1	0.858757068130666	0.855796738106453
EC:1.1.1.251	4.52388473903831e-12	0.641624277395608	0.584181656077629	0.612872875629412	8.11866235003733e-09	1	1	1
EC:1.1.1.256	1.32952850118162e-12	0.705919331788771	0.732706665038756	0.710068680321942	2.49435405663689e-09	1	1	0.992610490540165
EC:1.1.1.257	3.14495197592524e-09	0.6853525959804	0.62399684524003	0.70241964359347	5.17704201713313e-06	1	1	1
EC:1.1.1.261	0.437412554167074	0.706072953754098	9.2368867160993e-05	0.000547997176431303	1	1	0.104461773472736	0.353603945302684
EC:1.1.1.262	1.15382368358457e-05	0.719859616298207	0.123845459816053	0.165532745702976	0.0139636392950917	1	0.959863360568073	0.964660416353264
