(Intercept):pval	meta_cleaned$groupe2crops_residues:pval	meta_cleaned$groupe2grasslands_control:pval	meta_cleaned$groupe2grasslands_residues:pval	(Intercept):pval.padj	meta_cleaned$groupe2crops_residues:pval.padj	meta_cleaned$groupe2grasslands_control:pval.padj	meta_cleaned$groupe2grasslands_residues:pval.padj
EC:1.1.1.1	1.72039927160698e-167	8.30903607376698e-09	2.11578748428993e-07	0.616526876592985	3.91432071458954e-164	1.55740777751327e-05	0.000441125184730732	1
EC:1.1.1.100	1.31431767991422e-183	2.00420043408589e-10	0.000378032037118477	0.026282460860684	3.0534607845035e-180	3.95804079393602e-07	0.44501660831017	1
EC:1.1.1.102	9.71445146547012e-17	0.758267161335664	0.369233306161725	0.430515236765381	1.47732520661137e-13	1	1	1
EC:1.1.1.103	1.44856480112667e-88	0.00206010869141711	1.1372413820321e-18	2.37014577742146e-08	2.12001609329888e-85	0.836933174326697	2.60136910258492e-15	4.73994735497038e-05
EC:1.1.1.107	0	0.0242768167516987	0.647417142999437	0.498369122920522	0	0.910994669408396	1	1
EC:1.1.1.108	8.86443696224148e-16	0.0019668827095816	0.431160194145014	0.00406728633979217	1.3380078295322e-12	0.830781603296606	1	0.911473481620632
EC:1.1.1.11	5.72458747072346e-17	0.0200713022635863	0.687935524510174	2.75342811096241e-05	8.75896577490209e-14	1	1	0.0501789779125661
EC:1.1.1.116	0	0.66831908455326	0.739921154615045	0.624565362537205	0	1	1	1
EC:1.1.1.122	2.42697795759823e-87	0.000104988573287282	4.8123163365265e-07	1.03029018699662e-11	3.5371148348086e-84	0.21601462903832	0.000999224182811856	2.22011937301589e-08
EC:1.1.1.125	1.48848327506494e-101	0.0102258668835468	4.7069664308131e-05	6.11805390083658e-09	2.30099566004569e-98	1	0.0927170334862464	1.23546768549306e-05
EC:1.1.1.130	0	0.392213597878639	2.88557166563861e-13	1.84200810669963e-12	0	1	6.3943513293464e-10	3.98427595714263e-09
EC:1.1.1.132	2.20027217227164e-08	1.38069442082285e-08	0.737597336376778	4.25216625792978e-09	3.16758957616924e-05	3.12973306656461e-05	1	8.65716077467629e-06
EC:1.1.1.133	5.03940870993877e-166	1.74249762188716e-10	0.773235176209202	7.65979675979543e-06	1.14112539071146e-162	3.3958689694101e-07	1	0.0134791503069371
EC:1.1.1.136	2.65346687540359e-101	4.36178844778756e-10	0.493179672289083	5.74413346748903e-11	4.07896472408974e-98	8.44994041229383e-07	1	1.19638230877683e-07
EC:1.1.1.137	3.46944695195361e-17	0.238926035580975	0.553694890971354	0.241944292327517	5.28674326538692e-14	1	1	1
EC:1.1.1.14	7.87017109304092e-107	5.61576500787697e-08	1.24192339020618e-06	0.876068959157085	1.24105825723263e-103	0.000102700701531363	0.00255401226751844	1
EC:1.1.1.140	6.2600966077575e-14	0.142335937340135	0.0195163517550068	0.000109790435792727	9.29625248308197e-11	1	0.975954876714067	0.13263297167511
EC:1.1.1.145	0	0.625268673805382	0.0567336071649019	0.261262663886469	0	1	0.996680681497938	1
EC:1.1.1.157	3.06355478737602e-148	2.56372055008891e-09	0.00105511804374743	0.00770745324412122	5.94076055932292e-145	4.87702828342283e-06	0.772575497708306	0.997770526119293
EC:1.1.1.159	4.16333634234434e-17	0.112750116433484	0.199778474545947	0.224491241863296	6.33902652591445e-14	1	1	1
EC:1.1.1.163	0	0.810078589159769	0.265185379318455	0.657646916816276	0	1	1	1
EC:1.1.1.169	1.05965267213215e-148	0.0109169653161664	0.385899492469302	0.47170841281649	2.02588660299407e-145	0.985136576932025	1	1
EC:1.1.1.17	0	0.00384539482753299	0.00852168302832312	0.0273330800933098	0	0.921301373526989	0.987145705451895	0.996597471787513
EC:1.1.1.170	0	0.308240607407556	0.374318528591904	0.197917057989065	0	0.993404844016637	1	0.981372806595537
EC:1.1.1.173	0	0.00210111604705731	0.000335373907568516	1.33864244505636e-11	0	0.56017669651883	0.295411142779317	2.82368199857694e-08
EC:1.1.1.18	2.90819869353571e-56	2.00408787770245e-07	0.316177703099761	3.25084315369559e-09	3.76913782429526e-53	0.000450396979144517	1	6.65159698125163e-06
EC:1.1.1.193	3.06610557309878e-148	2.84708142478385e-11	0.845949022205403	1.70413433451394e-08	5.97595519031751e-145	5.79824890149794e-08	1	3.28136984956897e-05
EC:1.1.1.2	0	0.634015444471876	0.681536958773763	0.366160415842395	0	1	1	1
EC:1.1.1.202	0	0.237931065489723	0.00388169671253545	0.000250032277746184	0	1	0.543445786465981	0.242842733849667
EC:1.1.1.203	4.73577213915713e-36	1.01361515075011e-05	0.00113555581231813	3.41521337722919e-12	5.69264261075005e-33	0.0221758646025555	0.913249861792654	7.43527715137344e-09
EC:1.1.1.205	6.00505734467262e-150	1.84298756811252e-12	0.517075063076779	6.85854342069581e-11	1.2072795474427e-146	4.03993894587673e-09	1	1.43384615064815e-07
EC:1.1.1.206	2.01054450865712e-15	0.0692708445673316	3.58647042412474e-08	4.62403958244746e-09	3.05493477736896e-12	1	7.50835534377215e-05	9.37963315496376e-06
EC:1.1.1.21	0.217786688831748	0.00403171412860393	4.5070921426874e-22	1.40306044387035e-16	1	0.954345915802937	1.04076801162438e-18	3.19275065761924e-13
EC:1.1.1.215	0.00048645104111985	1.5973306644713e-06	0.852725345845731	1.2249837233738e-08	0.451823582357809	0.00354714404635348	1	2.47452955152545e-05
EC:1.1.1.216	0	0.588139129593703	0.421695033399946	0.416310481824827	0	1	1	1
EC:1.1.1.219	1.67746875240949e-87	7.81415918601688e-06	1.6463309641617e-10	0.0105688942135269	2.44601005592042e-84	0.0134899672102019	3.57240139816068e-07	1
EC:1.1.1.22	9.11382771169631e-162	4.04754528504636e-12	0.580152790310125	3.33880226482605e-06	2.02514987171371e-158	8.68679061322153e-09	1	0.00601115181673907
EC:1.1.1.23	9.95809027179204e-148	8.59162740951547e-12	0.388123606667268	3.63874087111471e-11	1.92913594874882e-144	1.81359213220073e-08	1	7.71191771397478e-08
EC:1.1.1.243	0	0.663002925463098	0.543450484251299	0.738915551657457	0	1	1	1
EC:1.1.1.25	7.8093092745891e-164	1.75782488489803e-06	0.266006434222162	0.200329180183294	1.75114424991821e-160	0.00307212153686603	1	1
EC:1.1.1.251	0	0.611075458711616	0.589425706212598	0.678585128188426	0	1	1	1
EC:1.1.1.252	0	0.407702036443554	0.41038440793613	0.325130830192308	0	0.993293660196539	1	1
EC:1.1.1.26	1.8394898051309e-113	1.80960591286e-08	0.00310550078658767	1.27987898057569e-14	2.99867967311042e-110	3.35211315924486e-05	0.982336402483749	2.92141207058894e-11
