project,platform,measurements_avail,scale,subsampling_16S,subsampling_18S,sample,site,bloc,modality,plot,campagne,id-ech,concentration_matrice_adn_ng_µl
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C2-R-T5,Lusignan,crops,residues,2,5,68,111060593681115
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C5-C-T8,Lusignan,crops,control,5,8,107,997955888854385
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P5-C-T6,Lusignan,grasslands,control,5,6,77,128110678211437
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P3-C-T2,Lusignan,grasslands,control,3,2,27,153990121548298
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P3-C-T1,Lusignan,grasslands,control,3,1,15,102768741392513
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C3-C-T4,Lusignan,crops,control,3,4,57,169389935288865
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P1-C-T4,Lusignan,grasslands,control,1,4,49,209229547286633
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P6-R-T0,Lusignan,grasslands,residues,6,0,6,805193916442205
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P4-R-T9,Lusignan,grasslands,residues,4,9,112,163259368862213
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C4-R-T0,Lusignan,crops,residues,4,0,10,114355772521682
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P1-C-T6,Lusignan,grasslands,control,1,6,73,17683050930081
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C6-R-T1,Lusignan,crops,residues,6,1,24,117575757542004
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P4-R-T6,Lusignan,grasslands,residues,4,6,76,129058964159158
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C6-R-T8,Lusignan,crops,residues,6,8,108,986966886296557
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P1-C-T12,Lusignan,grasslands,control,1,12,145,197655551781141
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P1-C-T2,Lusignan,grasslands,control,1,2,25,244308677754157
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P6-R-T3,Lusignan,grasslands,residues,6,3,42,161704936855156
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C3-C-T6,Lusignan,crops,control,3,6,81,114952618101658
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P2-R-T12,Lusignan,grasslands,residues,2,12,146,196880628450397
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P5-C-T5,Lusignan,grasslands,control,5,5,65,180324678288542
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C5-C-T5,Lusignan,crops,control,5,5,71,"-0,33184955481292"
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P4-R-T5,Lusignan,grasslands,residues,4,5,64,140035786942313
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P3-C-T0,Lusignan,grasslands,control,3,0,3,173408064535049
