"Superkingdom"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"1"	"Archaea"	"Archaea"	"CandidatusAenigmarchaeota"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeotaarchaeon"
"2"	"Archaea"	"Archaea"	"CandidatusAenigmarchaeota"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeotaarchaeonCG_4_10_14_0_8_um_filter_37_24"
"3"	"Archaea"	"Archaea"	"CandidatusAenigmarchaeota"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeotaarchaeonCG_4_10_14_3_um_filter_37_21"
"4"	"Archaea"	"Archaea"	"CandidatusAenigmarchaeota"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeotaarchaeonCG_4_8_14_3_um_filter_37_24"
"5"	"Archaea"	"Archaea"	"CandidatusAenigmarchaeota"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeotaarchaeonCG01_land_8_20_14_3_00_37_9"
"6"	"Archaea"	"Archaea"	"CandidatusAenigmarchaeota"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeotaarchaeonCG1_02_38_14"
"7"	"Archaea"	"Archaea"	"CandidatusAenigmarchaeota"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeotaarchaeonCG15_BIG_FIL_POST_REV_8_21_14_020_37_27"
"8"	"Archaea"	"Archaea"	"CandidatusAenigmarchaeota"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeotaarchaeonex4484_14"
"9"	"Archaea"	"Archaea"	"CandidatusAenigmarchaeota"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeotaarchaeonex4484_224"
"10"	"Archaea"	"Archaea"	"CandidatusAenigmarchaeota"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeota_UN"	"CandidatusAenigmarchaeotaarchaeonex4484_52"
