Taxonomy_highest	Taxonomy_genus
Firmicutes	Abiotrophia
Acidobacteria	Acanthopleuribacter
Actinobacteria	Acaricomes
Cyanobacteria	Acaryochloris
Firmicutes	Acetanaerobacterium
Firmicutes	Acetitomaculum
Firmicutes	Acetivibrio
Proteobacteria	Acetobacter
Firmicutes	Acetobacterium
Firmicutes	Acetohalobium
Firmicutes	Acetonema
Tenericutes	Acholeplasma
Proteobacteria	Achromatium
Proteobacteria	Achromobacter
Firmicutes	Acidaminobacter
Firmicutes	Acidaminococcus
Crenarchaeota	Acidianus
Proteobacteria	Acidicaldus
Acidobacteria	Acidicapsa
Proteobacteria	Acidiferrobacter
Crenarchaeota	Acidilobus
Actinobacteria	Acidimicrobium
Proteobacteria	Acidiphilium
Euryarchaeota	Acidiplasma
Proteobacteria	Acidisoma
Proteobacteria	Acidisphaera
Actinobacteria	Aciditerrimonas
Proteobacteria	Acidithiobacillus
Actinobacteria	Acidithiomicrobium
Acidobacteria	Acidobacterium
Proteobacteria	Acidocella
Proteobacteria	Acidomonas
Actinobacteria	Acidothermus
Proteobacteria	Acidovorax
Proteobacteria	Acinetobacter
Actinobacteria	Acrocarpospora
Bacteroidetes	Actibacter
Proteobacteria	Actimicrobium
Actinobacteria	Actinaurispora
Actinobacteria	Actinoallomurus
Actinobacteria	Actinoalloteichus
Proteobacteria	Actinobacillus
Actinobacteria	Actinobaculum
Actinobacteria	Actinocatenispora
Actinobacteria	Actinocorallia
Actinobacteria	Actinokineospora
Actinobacteria	Actinomadura
Actinobacteria	Actinomyces
Actinobacteria	Actinomycetospora
Actinobacteria	Actinophytocola
Actinobacteria	Actinoplanes
Actinobacteria	Actinopolymorpha
Actinobacteria	Actinopolyspora
Actinobacteria	Actinospica
Actinobacteria	Actinosynnema
Actinobacteria	Actinotalea
Actinobacteria	Actinotelluria
Bacteroidetes	Adhaeribacter
Actinobacteria	Adlercreutzia
Proteobacteria	Advenella
Bacteroidetes	Aequorivita
Firmicutes	Aeribacillus
Actinobacteria	Aeriscardovia
Firmicutes	Aerococcus
Actinobacteria	Aeromicrobium
Proteobacteria	Aeromonas
Crenarchaeota	Aeropyrum
Proteobacteria	Aestuariibacter
Bacteroidetes	Aestuariicola
Actinobacteria	Aestuariimicrobium
Proteobacteria	Afifella
Proteobacteria	Afipia
Proteobacteria	Agaricicola
Proteobacteria	Agarivorans
Proteobacteria	Aggregatibacter
Actinobacteria	Agreia
Proteobacteria	Agrobacterium
Actinobacteria	Agrococcus
Actinobacteria	Agromyces
Proteobacteria	Ahrensia
Proteobacteria	Aidingimonas
Verrucomicrobia	Akkermansia
Proteobacteria	Albibacter
Proteobacteria	Albidiferax
Proteobacteria	Albidovulum
Proteobacteria	Albimonas
Proteobacteria	Alcaligenes
Proteobacteria	Alcanivorax
Bacteroidetes	Algibacter
Proteobacteria	Algicola
Proteobacteria	Algorimarina
Bacteroidetes	Algoriphagus
Proteobacteria	Aliagarivorans
Proteobacteria	Alicycliphilus
Firmicutes	Alicyclobacillus
Proteobacteria	Aliihoeflea
Proteobacteria	Aliivibrio
Proteobacteria	Alishewanella
Bacteroidetes	Alistipes
Firmicutes	Alkalibacillus
Firmicutes	Alkalibacter
Firmicutes	Alkalibacterium
