Site	sampling_date	sampling_operator	extraction_operator	User.name	Date.and.Time	Nucleic.Acid.Conc.	Unit	A260	A280	X260.280	X260.230	Tecan	Unit.1	land_use	wheat_straw_amendment	time	subplot	Category	Kinetic	Dynamic	Treatment	color	sample_id
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:29:44	34,4	ng/µl	0,688	0,41	1,68	1,24	22,3	ng/µl	Cropland	Control	0	1	Control Cropland	Cropland_0	Control_0	Control_1	#f2e0bd	C1-C-T0
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:41:55	33,8	ng/µl	0,676	0,404	1,68	1,46	18,2	ng/µl	Cropland	Control	3	1	Control Cropland	Cropland_3	Control_3	Control_1	#f2e0bd	C1-C-T1
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:47:12	41,4	ng/µl	0,828	0,488	1,7	1,62	29,8	ng/µl	Cropland	Control	51	1	Control Cropland	Cropland_51	Control_51	Control_1	#f2e0bd	C1-C-T4
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:43:46	37,3	ng/µl	0,746	0,451	1,65	1,5	23,7	ng/µl	Cropland	Control	125	1	Control Cropland	Cropland_125	Control_125	Control_1	#f2e0bd	C1-C-T6
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:33:03	37,1	ng/µl	0,742	0,445	1,67	1,5	21,6	ng/µl	Cropland	Amended	0	2	Amended Cropland	Cropland_0	Amended_0	Amended_2	#fbbb3f	C2-R-T0
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:24:42	35,7	ng/µl	0,713	0,417	1,71	0,82	21,3	ng/µl	Cropland	Amended	3	2	Amended Cropland	Cropland_3	Amended_3	Amended_2	#fbbb3f	C2-R-T1
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:02:03	40,5	ng/µl	0,809	0,474	1,71	0,83	28,7	ng/µl	Cropland	Amended	51	2	Amended Cropland	Cropland_51	Amended_51	Amended_2	#fbbb3f	C2-R-T4
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:51:47	41,7	ng/µl	0,833	0,483	1,72	1,38	32,7	ng/µl	Cropland	Amended	125	2	Amended Cropland	Cropland_125	Amended_125	Amended_2	#fbbb3f	C2-R-T6
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:08:47	18,1	ng/µl	0,362	0,221	1,63	0,67	8,33	ng/µl	Cropland	Control	0	3	Control Cropland	Cropland_0	Control_0	Control_3	#f2e0bd	C3-C-T0
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:05:03	21,2	ng/µl	0,425	0,266	1,6	0,62	11,3	ng/µl	Cropland	Control	3	3	Control Cropland	Cropland_3	Control_3	Control_3	#f2e0bd	C3-C-T1
