pathway	C1-C-T0	C1-C-T1	C1-C-T4	C1-C-T6	C2-R-T0	C2-R-T1	C2-R-T4	C2-R-T6	C3-C-T0	C3-C-T1	C3-C-T4	C3-C-T6	C4-R-T0	C4-R-T1	C4-R-T4	C4-R-T6	C5-C-T0	C5-C-T1	C5-C-T4	C5-C-T6	C6-R-T0	C6-R-T1	C6-R-T4	C6-R-T6	P1-C-T0	P1-C-T1	P1-C-T4	P1-C-T6	P2-R-T0	P2-R-T1	P2-R-T4	P2-R-T6	P3-C-T0	P3-C-T1	P3-C-T4	P3-C-T6	P4-R-T0	P4-R-T1	P4-R-T4	P4-R-T6	P5-C-T0	P5-C-T1	P5-C-T4	P5-C-T6	P6-R-T0	P6-R-T1	P6-R-T4	P6-R-T6
1CMET2-PWY	2051.9736699331875	2499.9027585275885	2341.676996536605	2294.7662308122826	1907.3343224281577	2022.6344584419155	1678.361288483945	1994.0164725965149	2051.5640825204628	1681.703250066989	1929.1192328506902	1746.6483022924974	2002.6623887798705	2107.7189136857614	2093.6256536967603	2267.2225365149534	2403.3371311863325	2037.9802922333988	1755.7659888153582	1990.1002351399968	2284.730781690966	2505.4215291098317	2133.8309879982244	1948.0384921827333	2247.435747910246	1765.765522304058	2442.2610557055928	2268.478277017345	2073.5077422966738	2132.113221672753	2606.0027068469676	1992.398196102103	2065.0635490252907	1909.0500562290392	1623.825215981586	1608.8192078802338	2049.5208534156623	1400.66473188663	1664.9694177888334	1950.6142409772206	1691.3073371087937	1858.0133443577581	2142.266095207513	2093.0265091518468	2103.7209860830662	2661.269478660377	1971.4437890506606	2217.3070694128933
AEROBACTINSYN-PWY	61.34439834024896	78.43628903578755	66.30000000000001	54.71398747390398	66.31775791723334	107.32217503883997	54.53947410358566	74.12448132780082	57.52892179546506	47.72913572913573	44.82170728778965	33.44262295081967	50.322580645161295	115.60274230223452	86.88864422367006	45.67257816504357	56.22408130383591	60.28372739916551	59.825174393481085	47.45792736935341	65.02357340269874	164.42606657697146	56.27148523578669	49.31417475728155	161.8260078387458	85.90117717627652	119.70749444481851	87.14764023299546	122.09507095524826	127.73100349020233	106.5402321857486	49.00205821817112	89.56902134680828	104.70789755414643	87.07050778179531	81.96189287418774	97.29032258064515	39.47892720306514	70.82532555006736	67.97564048719026	69.85462494876349	95.46409807355516	98.86423484958581	67.1470016618314	117.85065131778249	112.04347066021793	109.8886561569838	73.0400264637777
ANAEROFRUCAT-PWY	6611.348841922061	8363.26919737208	7950.439589176502	7679.224893371931	6062.977863767448	6334.216862782644	5863.223583971278	6593.13977899826	6584.868513636652	5487.112525288647	6188.464387308777	5925.7729924742835	6460.752538268977	6504.454116810301	6823.364114167708	7187.620585545075	7939.985970766079	6731.197822402303	5599.937012178186	6677.283992524991	7604.74769859956	8117.411206677611	6800.966990282194	6501.988133068195	7466.621351300505	6302.316780967948	8480.20603919019	7716.950968794682	7421.707764823535	7407.039710600836	8417.503281005624	6670.849729043936	6972.047353139725	6350.096270013423	5566.830016225232	5772.507209092485	7002.611896438173	4835.334123252259	5717.21122081325	6767.731422891422	5524.163032687823	6279.7166626916005	6751.654887840245	7188.785913812758	6772.90608592149	8593.941552713939	6600.9338612954025	7321.024266842534
ANAGLYCOLYSIS-PWY	7204.531274748678	8812.314428600208	8410.849572765646	8091.769955185655	6554.204026514408	6811.750079728901	6191.190294152752	7035.017024653953	7279.533130399837	5952.028567619818	6577.733524677503	6268.047254516236	6875.276721203039	6926.425985368918	7369.94152030961	7775.0691717246755	8446.273007952379	7218.820872850854	6102.48628786599	7097.680515109786	8123.523113624824	8563.88024052963	7276.382380361518	6908.781016203661	8233.33111061056	6976.867184185652	9314.86220180744	8393.937657588707	8181.375172907874	8016.512186351605	9091.347954720839	7300.826371957715	7854.913214660691	7019.0592957025865	6180.303375442427	6342.36334289545	7817.0577435164005	5269.2354028291675	6225.7232470760755	7347.738014216866	6193.167414242309	6909.157439031773	7615.354838211365	8022.621819541105	7606.676725283241	9272.239302600465	7193.264565408197	7973.659502984612
ARG+POLYAMINE-SYN	2354.700116007935	2766.6860342756186	2722.9972854990624	2702.369659289271	2042.2634856841069	2128.7539003472425	2088.0468947855193	2465.036934654396	2194.197608882026	1815.9010701214615	2175.3821686247043	2156.777473949736	2349.1755075595674	2259.480505525257	2544.3862050197135	2529.4691210573615	2938.1914132971274	2527.526988840476	1963.3889338429653	2248.0795142425586	2692.9903194431217	3144.1244760930444	2503.0955007130024	2362.0153664754484	2981.499885822498	2511.7341437554874	3517.5264122943836	3085.5009789185037	2956.875160018408	2952.5299109461444	3241.433387774394	2549.850360133762	2763.891500470068	2442.076089235844	2174.632915114909	2257.7747814488216	2774.731525191645	1878.6184627676473	2343.9227582232465	2791.2036734061207	2303.0347359613925	2431.19674632342	2655.090747851168	2896.906454035767	2754.7046493623425	3324.724700318919	2776.065090347073	2932.822779551195
ARGDEG-PWY	1245.0701102281873	1637.4769078323882	1586.624889403077	1529.349828301882	1088.278214149198	1229.8961252048994	1184.6443348751445	1283.1956111266745	1182.15592166579	994.9078890595798	1216.366756702351	1138.1683837532987	1291.1937932503886	1293.2820951428957	1346.6623866386963	1360.0515829796946	1709.4786771478832	1249.0566716219475	1073.4650804321193	1323.5444859669562	1511.4931702753465	1786.1982116094543	1385.634693090821	1290.459809488314	1208.7770640957428	1110.1074375383703	1559.4137886154153	1341.2110040075227	1094.8231866759359	1488.3206009811165	1425.788602597228	1311.0149919051785	1033.1378690942586	1162.6337196656075	1102.033748987636	1120.178743851696	1208.311881202123	891.249552708147	1141.918299410777	1089.7039335213046	982.81430173455	1192.6224506047893	1276.4604281781767	1368.7947554789525	1281.1800949373123	1668.0281819585516	1176.8107429412992	1268.099896847095
ARGORNPROST-PWY	1125.3683765505907	1490.914619108017	1215.9460932733139	1252.893294695745	1135.5511364526271	1343.9125037730284	899.8292446104072	1229.655721375732	1200.6232591702055	965.4372354641281	1043.6184056239595	1013.1275961628776	1141.7722627824176	1235.0568303524883	1097.7757524175886	1189.6403694850096	1335.0073573736515	1069.0329496754678	1123.3472543713165	1140.9619482165162	1319.3258048494774	1548.3055871488377	1163.3356920896126	1140.323662006624	1251.0852080750726	987.2465085980407	1442.7294401718827	1379.176580586493	1204.2341292614865	1400.3835939384467	1405.69810494306	1161.928382939442	1272.1315030284989	1213.2598695199833	826.1676388945467	1092.8341065600687	1352.8600020729057	919.9732972029146	1019.7802709347523	1137.8442382536919	1028.6308404472848	1106.3594444907121	1217.2024218749038	1448.3543967026644	1352.3895134423021	1798.8280798245733	1133.2745581881734	1301.6957008944537
ARGSYN-PWY	9352.543239458644	11562.44885389265	10968.946415839007	10612.809881151383	8475.94551167183	8507.622925634918	7923.703892796663	8859.76384394534	9211.682671449787	7755.358198755022	8418.540476879516	8275.651287810322	8931.759425806502	8831.427188252872	9170.091530234946	9961.74851559207	11117.536099100844	9452.435491116466	7938.1646378162	9278.57805357629	10538.75402381457	11010.226805918157	9300.404077242201	8901.495930778967	10223.039946792527	8698.80680268594	11868.147605234648	10631.154302716366	10276.442581945916	9964.352383016638	11607.995186021075	9205.64417739886	9575.738904876145	8803.830958632905	7652.212345362624	8047.84328713634	9899.635798346373	6534.751783003514	7626.057243938955	9190.833849771141	7694.109108701901	8665.129534386371	9661.819836589892	10229.961475495013	9604.658381532483	11768.630945140601	9123.659267084788	9951.460967675868
ARGSYNBSUB-PWY	6699.4972334128015	8777.675183359559	8434.817831439623	8013.838999438528	6216.577853693896	6250.359690409422	6058.99985919439	6761.6520801720035	6650.158232032404	5729.453529438224	6468.979515484862	6496.221511241588	6534.474736443645	6532.47142788354	6852.076472893952	7459.185401218156	8558.083849334596	7164.038023835408	5877.764752838483	6968.102497378383	8021.663780228332	8318.650037490632	7287.566951729526	6829.398057223716	7401.622410568784	6465.081471901782	9092.388755088743	7801.322862395535	7493.726464566803	7540.033418623499	8821.122854399862	7152.183777882537	6930.602963160103	6473.007518707918	5709.817764330703	5896.888902267404	6868.414376472971	4935.19162801334	5874.83202512653	6984.867129509456	5604.653945062378	6290.106682840666	7073.565607863716	7568.985658006166	7026.18641901095	8839.091140652416	6740.766946566266	7473.70885367184
ARO-PWY	5808.047265545282	7633.270322234505	6985.148918338039	6944.743714757698	5463.158975147256	5718.531764700217	5137.889267541416	5758.556034423903	5899.724417873599	5103.368580278446	5569.34064605698	5426.329801536564	5874.841466982493	5790.756136106422	6014.744715408593	6491.010611266912	7115.903307836009	6061.666420597784	5210.623021534776	5883.694650636484	6969.779759419887	7213.897262178137	6145.170588027055	5921.097889022839	6637.942056722456	5708.946703859901	7846.4013261397595	6928.8830800445	6627.170740549572	6594.892303607737	7640.039643151347	6168.609760509425	6124.870512150071	5750.719021489571	4866.745031034875	5287.826642111054	6365.216368238731	4168.961882783851	4947.944918171493	5930.6066314390955	5059.580914511918	5526.643517409559	6302.021173827602	6838.607301939153	6226.002871648127	7747.752211546661	5901.243170803057	6595.65878919972
