EC_number	C1-C-T0	C1-C-T1	C1-C-T4	C1-C-T6	C2-R-T0	C2-R-T1	C2-R-T4	C2-R-T6	C3-C-T0	C3-C-T1	C3-C-T4	C3-C-T6	C4-R-T0	C4-R-T1	C4-R-T4	C4-R-T6	C5-C-T0	C5-C-T1	C5-C-T4	C5-C-T6	C6-R-T0	C6-R-T1	C6-R-T4	C6-R-T6	P1-C-T0	P1-C-T1	P1-C-T4	P1-C-T6	P2-R-T0	P2-R-T1	P2-R-T4	P2-R-T6	P3-C-T0	P3-C-T1	P3-C-T4	P3-C-T6	P4-R-T0	P4-R-T1	P4-R-T4	P4-R-T6	P5-C-T0	P5-C-T1	P5-C-T4	P5-C-T6	P6-R-T0	P6-R-T1	P6-R-T4	P6-R-T6	EC_class
1.-.-.-	4227.180953284888	5289.043760304255	5011.729827961141	4847.400367535777	3905.6612487133066	4041.3382295183446	3605.336092470443	4110.818102235043	4181.413477495357	3549.433479284623	3882.3631813023408	3779.7688187908498	4105.7186620356515	4087.7431353327997	4288.055520665114	4638.673905874468	5070.40526175538	4304.246243298179	3626.2119257866984	4207.388751011003	4894.984518896341	5140.171977983294	4259.658013054757	4105.272461018205	4872.546982019023	4020.589882207074	5523.522394972487	4926.441690626332	4738.208604266325	4800.549260703876	5368.276312402287	4332.930594419752	4480.718745698343	4146.960384648223	3558.453114137295	3754.367232297635	4678.8319974446695	3105.90966794262	3612.2203367396205	4281.585605912137	3653.748902863408	4077.7036124402493	4496.04893779776	4808.325907007947	4405.661360263561	5593.161625195416	4232.981566511695	4740.598966859789	oxidoreductase
1.1.-.-	773.9356647612714	943.2370793810413	910.0588465837558	861.2317066745902	719.1485541190679	762.9718683325814	655.3736801254385	775.529239823581	784.676360681238	641.6370630883298	692.1533925635435	663.8514994569255	745.7612576596379	775.8160833347966	817.1852919523534	845.7740285701873	894.0912244594138	774.9874243023957	655.788009641639	752.6455019288153	869.9963695172929	961.65880710134	785.6325057186236	744.5501406122826	965.0690577346826	781.8079255690807	1062.9145665604908	963.6348401786039	963.316125166142	980.9729368565322	1026.51731213734	811.9264942467317	904.9912778856113	798.3492347158541	700.0575248725991	705.2525795757283	924.7197371570039	618.4664816823486	708.8221877153018	827.3841723511347	730.9091380789126	788.2778403220575	848.4193631736212	893.5812804394747	865.7893313527956	1076.3324685851376	839.8778008396418	893.2625654270128	oxidoreductase
1.1.1.-	2386.4105273098444	2936.4488958166194	2789.1069455554757	2688.4886161212485	2212.5833595131153	2261.8248289384815	2009.17943855992	2305.393171142025	2359.5109802580587	2012.9084042057245	2173.986971503977	2122.450753988885	2333.981907759859	2300.708060458835	2411.142812276889	2593.6708999138286	2822.731379370208	2402.473763937925	2064.2852642145854	2346.0293352309195	2776.836417575692	2876.785445483749	2373.375083300152	2311.671856887525	2692.5044252782686	2266.8286546341333	3094.340312990253	2790.0630905928615	2702.2252331583572	2681.508757348333	2982.917544633567	2407.0313886161302	2524.509742209593	2331.623416667641	1988.1761192386798	2097.2403965031476	2590.993693809148	1712.5195049603685	1972.6546981317845	2410.9197117681656	1998.693714649923	2265.649409088024	2528.6849088728436	2704.6155957518217	2493.81748650951	3073.8150661877057	2353.041065505082	2696.042161916596	oxidoreductase
1.1.1.1	1014.9798286862186	1214.5272979886245	1122.6098883946079	1109.7019303899	933.7393720096761	962.8380526474491	819.7987550545411	944.5756824333813	1008.9879864519346	835.6388911738983	881.4382384646757	864.5782143054403	965.1965437396673	973.3875195599385	996.6537154696584	1064.76311363277	1169.0147942090628	988.5902256543719	847.4632181362354	962.7743096449567	1108.2358413325753	1218.0969061281978	973.6743630711543	932.8150984735366	1146.736614837975	923.9229496258491	1276.1030383962666	1168.377364184139	1127.6774570927523	1117.0323756765242	1184.504343814712	981.1641658640093	1054.1817752190343	961.1169915801547	818.7788670146629	877.1037142951936	1119.486481272481	720.1365706576998	824.1651507252693	994.1358668712093	845.9652575776644	948.1452905729548	1026.549183638586	1109.4469583799307	1017.9438783021144	1270.4617826756908	965.9614597695759	1099.6624074973497	oxidoreductase
1.1.1.100	1381.2152495062064	1786.2382873428098	1702.7986970802801	1641.063599166407	1279.4495460271166	1327.2567978964041	1246.8768717535088	1384.3705281295795	1356.7379365491313	1199.5476924029142	1347.1446146740277	1296.7876427050448	1377.645641366633	1341.9176884696521	1445.0219950010821	1566.3249287440874	1726.6067085111852	1454.7746743824168	1241.1081300279482	1417.8674759393268	1668.1543752256698	1691.3568281328974	1475.3636641874566	1394.760637535838	1554.5324732829965	1320.2131961209957	1814.1258509332274	1624.1079605034329	1537.8955496324845	1542.293816804459	1804.56440055937	1427.0145967969838	1412.9273932461672	1360.7856172073975	1179.9785906377524	1232.4072101877377	1482.247908456634	981.3553948714863	1192.5678336299982	1409.740243121548	1173.3811898797908	1330.571434026008	1485.3075725762683	1606.7379923242586	1453.7866578437847	1820.9782237011586	1404.0352443984798	1575.6632786092216	oxidoreductase
1.1.1.103	450.1530836012106	573.5914079277107	535.5049639385118	522.4695199288194	410.82365106341007	429.69157980115557	372.7690785754573	443.81065485321847	446.04165994045184	380.86443989198995	415.7637337565698	409.0388469936234	446.55160396039093	431.8588418858966	453.0215187133678	492.7015377648764	544.3014982824607	467.39556577540026	386.72879612128924	437.6275836114573	528.3657476593648	532.6365288263545	455.7305963192941	446.00978843920564	532.7640148313393	423.0941790431939	602.1801445455446	543.185995738844	520.0154143328626	499.1395810166071	578.9776916383172	475.0765975757324	483.93687492217373	443.9381408582032	388.2267566798602	413.9151866842907	507.2986853356322	332.132914486563	390.5852477720784	462.2961255760096	404.4493508141718	441.96210778093933	487.5064830617472	529.066920686781	484.2237184333894	601.8933010343289	456.5911268529413	517.0513647169669	oxidoreductase
1.1.1.107	58.42046178426925	72.76263734505548	75.12112843727367	67.7588116494034	53.99032311104861	57.62367425311446	54.404652627249106	60.84269587897982	54.34090962475672	52.237390542508074	57.8467747618378	51.7593180238152	59.79093633785549	59.026020307946894	63.87048849736802	66.42020859706335	73.30445286624074	61.51199740514984	50.29322896649038	61.097667888949346	69.60735872168252	77.51149103073804	63.64738798864468	59.63157883162453	75.98165897092083	62.659371450012735	87.2004274095803	78.91383708557046	78.69073657684713	79.45565260675573	83.3758472600373	69.00180019800487	69.89420223289824	64.50791852229185	59.34473532040881	59.312863819162615	75.98165897092083	51.63183201883043	58.42046178426925	71.1690622827459	61.12953939019554	62.50001394378178	67.69506864691101	74.00562589365695	68.04565516061912	86.46738288091788	70.75473276654542	76.58721749459848	oxidoreductase
1.1.1.108	58.19736127554591	73.17696686125598	68.45998467681962	65.36844905593902	53.73535110107908	56.79501522071347	47.77538036804125	60.65146687150266	57.40057374439112	49.49644143533559	52.9066920686781	50.86691598892183	62.65937145001274	57.591802751868265	61.79884091636556	66.00587908086285	72.41205083134737	61.00205338521077	48.954625914150334	56.41255720575918	65.33657755469284	77.3202620232609	57.14560173442158	59.85467934034787	85.76620985350166	60.39649486153313	93.82969966878815	80.95361316532673	84.77819331486972	84.30012079617686	86.33989687593312	76.04540197341322	82.00537270645106	72.38017933010119	59.44034982414738	67.15325312572575	82.86590324009823	56.06197069205107	62.43627094128939	78.69073657684713	67.21699612821814	66.80266661201765	71.36029129022306	82.26034471642059	70.69098976405303	96.85749228717636	72.69889434256311	85.19252283107022	oxidoreductase
1.1.1.119	51.66370352007662	64.69914752976901	60.30088035779456	58.898534302962126	48.79526840791938	49.8470279490437	43.12214118609727	50.54820097645992	51.56808901633805	44.77945925089923	48.73152540542699	49.528312936581784	54.34090962475672	51.66370352007662	50.45258647272134	58.324847280530676	63.169315469951805	50.80317298642945	46.50052031819358	52.93856356992429	62.21317043256606	62.62749994876655	50.35697196898277	52.74733456244714	67.31261063195672	57.01811572943682	82.2284732151744	69.41612971420537	73.43193887122551	69.19302920548202	68.39624167432723	62.531885445027974	63.743002492383255	59.63157883162453	50.38884347022896	50.101999959013234	70.02168823788301	45.034431260868764	52.30113354500046	61.19328239268793	52.87482056743191	53.70347959983289	61.958198422596524	66.00587908086285	64.25294651232232	75.88604446718227	55.64764117585058	66.89828111575622	oxidoreductase
1.1.1.122	28.46125061284912	34.6443218546103	31.998987251176395	30.91535620880588	26.740189545554774	25.401586493214726	21.449520338686963	30.054825675158703	27.536977076709565	22.915609396011778	27.47323407421718	22.78812339102701	27.218262064247646	24.764156468290892	28.174407101633395	31.871501246191624	31.616529236222092	25.24222898698377	21.704492348656494	28.81183712655723	31.9671157499302	32.572674273607845	28.684351121572462	26.931418553031925	35.24988037828794	27.63259158044814	37.00281294682848	36.04666790944273	33.783791320963125	32.89138928606976	36.492868926889415	27.791949086679097	31.584657734975902	28.524993615341504	23.553039420935608	24.12672644336706	30.277926183882045	20.1746602888393	25.30597198947615	26.32586002935428	24.732284967044702	28.875580129049613	30.59664119634396	31.329685725006367	29.513010153973447	36.65222643312037	32.700160278592605	29.76798216394298	oxidoreductase
