EC_number	EC_class
1	EC:1.1.1.1	Oxidoreductases
2	EC:1.1.1.10	Oxidoreductases
3	EC:1.1.1.100	Oxidoreductases
4	EC:1.1.1.101	Oxidoreductases
5	EC:1.1.1.102	Oxidoreductases
6	EC:1.1.1.103	Oxidoreductases
7	EC:1.1.1.105	Oxidoreductases
8	EC:1.1.1.107	Oxidoreductases
9	EC:1.1.1.108	Oxidoreductases
10	EC:1.1.1.11	Oxidoreductases
11	EC:1.1.1.116	Oxidoreductases
12	EC:1.1.1.117	Oxidoreductases
13	EC:1.1.1.122	Oxidoreductases
14	EC:1.1.1.125	Oxidoreductases
15	EC:1.1.1.130	Oxidoreductases
16	EC:1.1.1.132	Oxidoreductases
17	EC:1.1.1.133	Oxidoreductases
18	EC:1.1.1.136	Oxidoreductases
19	EC:1.1.1.137	Oxidoreductases
20	EC:1.1.1.14	Oxidoreductases
21	EC:1.1.1.140	Oxidoreductases
22	EC:1.1.1.141	Oxidoreductases
23	EC:1.1.1.144	Oxidoreductases
24	EC:1.1.1.145	Oxidoreductases
25	EC:1.1.1.153	Oxidoreductases
26	EC:1.1.1.156	Oxidoreductases
27	EC:1.1.1.157	Oxidoreductases
28	EC:1.1.1.159	Oxidoreductases
29	EC:1.1.1.163	Oxidoreductases
30	EC:1.1.1.169	Oxidoreductases
31	EC:1.1.1.17	Oxidoreductases
32	EC:1.1.1.170	Oxidoreductases
33	EC:1.1.1.173	Oxidoreductases
34	EC:1.1.1.178	Oxidoreductases
35	EC:1.1.1.179	Oxidoreductases
36	EC:1.1.1.18	Oxidoreductases
37	EC:1.1.1.181	Oxidoreductases
38	EC:1.1.1.184	Oxidoreductases
39	EC:1.1.1.189	Oxidoreductases
40	EC:1.1.1.193	Oxidoreductases
41	EC:1.1.1.195	Oxidoreductases
42	EC:1.1.1.197	Oxidoreductases
43	EC:1.1.1.2	Oxidoreductases
44	EC:1.1.1.202	Oxidoreductases
45	EC:1.1.1.203	Oxidoreductases
46	EC:1.1.1.205	Oxidoreductases
47	EC:1.1.1.206	Oxidoreductases
48	EC:1.1.1.208	Oxidoreductases
49	EC:1.1.1.21	Oxidoreductases
50	EC:1.1.1.211	Oxidoreductases
51	EC:1.1.1.215	Oxidoreductases
52	EC:1.1.1.216	Oxidoreductases
53	EC:1.1.1.218	Oxidoreductases
54	EC:1.1.1.219	Oxidoreductases
55	EC:1.1.1.22	Oxidoreductases
56	EC:1.1.1.220	Oxidoreductases
57	EC:1.1.1.223	Oxidoreductases
58	EC:1.1.1.23	Oxidoreductases
59	EC:1.1.1.234	Oxidoreductases
60	EC:1.1.1.236	Oxidoreductases
61	EC:1.1.1.237	Oxidoreductases
62	EC:1.1.1.239	Oxidoreductases
63	EC:1.1.1.243	Oxidoreductases
64	EC:1.1.1.244	Oxidoreductases
65	EC:1.1.1.25	Oxidoreductases
66	EC:1.1.1.251	Oxidoreductases
67	EC:1.1.1.252	Oxidoreductases
68	EC:1.1.1.257	Oxidoreductases
69	EC:1.1.1.26	Oxidoreductases
70	EC:1.1.1.261	Oxidoreductases
71	EC:1.1.1.262	Oxidoreductases
72	EC:1.1.1.264	Oxidoreductases
73	EC:1.1.1.267	Oxidoreductases
74	EC:1.1.1.27	Oxidoreductases
75	EC:1.1.1.271	Oxidoreductases
76	EC:1.1.1.272	Oxidoreductases
77	EC:1.1.1.275	Oxidoreductases
78	EC:1.1.1.276	Oxidoreductases
79	EC:1.1.1.28	Oxidoreductases
80	EC:1.1.1.281	Oxidoreductases
81	EC:1.1.1.282	Oxidoreductases
82	EC:1.1.1.283	Oxidoreductases
83	EC:1.1.1.284	Oxidoreductases
84	EC:1.1.1.286	Oxidoreductases
85	EC:1.1.1.287	Oxidoreductases
86	EC:1.1.1.288	Oxidoreductases
87	EC:1.1.1.289	Oxidoreductases
88	EC:1.1.1.29	Oxidoreductases
89	EC:1.1.1.290	Oxidoreductases
90	EC:1.1.1.291	Oxidoreductases
91	EC:1.1.1.292	Oxidoreductases
92	EC:1.1.1.294	Oxidoreductases
93	EC:1.1.1.298	Oxidoreductases
94	EC:1.1.1.3	Oxidoreductases
95	EC:1.1.1.30	Oxidoreductases
96	EC:1.1.1.300	Oxidoreductases
97	EC:1.1.1.301	Oxidoreductases
98	EC:1.1.1.302	Oxidoreductases
99	EC:1.1.1.303	Oxidoreductases
100	EC:1.1.1.304	Oxidoreductases
101	EC:1.1.1.305	Oxidoreductases
102	EC:1.1.1.306	Oxidoreductases
103	EC:1.1.1.307	Oxidoreductases
104	EC:1.1.1.308	Oxidoreductases
105	EC:1.1.1.309	Oxidoreductases
106	EC:1.1.1.31	Oxidoreductases
107	EC:1.1.1.310	Oxidoreductases
108	EC:1.1.1.311	Oxidoreductases
109	EC:1.1.1.312	Oxidoreductases
110	EC:1.1.1.313	Oxidoreductases
111	EC:1.1.1.315	Oxidoreductases
112	EC:1.1.1.316	Oxidoreductases
113	EC:1.1.1.320	Oxidoreductases
114	EC:1.1.1.325	Oxidoreductases
115	EC:1.1.1.327	Oxidoreductases
116	EC:1.1.1.328	Oxidoreductases
117	EC:1.1.1.329	Oxidoreductases
118	EC:1.1.1.330	Oxidoreductases
119	EC:1.1.1.333	Oxidoreductases
120	EC:1.1.1.335	Oxidoreductases
121	EC:1.1.1.336	Oxidoreductases
122	EC:1.1.1.337	Oxidoreductases
123	EC:1.1.1.338	Oxidoreductases
124	EC:1.1.1.339	Oxidoreductases
125	EC:1.1.1.34	Oxidoreductases
126	EC:1.1.1.340	Oxidoreductases
127	EC:1.1.1.341	Oxidoreductases
128	EC:1.1.1.342	Oxidoreductases
129	EC:1.1.1.343	Oxidoreductases
130	EC:1.1.1.344	Oxidoreductases
131	EC:1.1.1.346	Oxidoreductases
132	EC:1.1.1.347	Oxidoreductases
133	EC:1.1.1.35	Oxidoreductases
134	EC:1.1.1.350	Oxidoreductases
135	EC:1.1.1.359	Oxidoreductases
136	EC:1.1.1.36	Oxidoreductases
137	EC:1.1.1.360	Oxidoreductases
138	EC:1.1.1.361	Oxidoreductases
139	EC:1.1.1.362	Oxidoreductases
140	EC:1.1.1.363	Oxidoreductases
141	EC:1.1.1.364	Oxidoreductases
142	EC:1.1.1.365	Oxidoreductases
143	EC:1.1.1.366	Oxidoreductases
144	EC:1.1.1.367	Oxidoreductases
145	EC:1.1.1.368	Oxidoreductases
146	EC:1.1.1.369	Oxidoreductases
147	EC:1.1.1.37	Oxidoreductases
148	EC:1.1.1.370	Oxidoreductases
149	EC:1.1.1.371	Oxidoreductases
150	EC:1.1.1.373	Oxidoreductases
151	EC:1.1.1.374	Oxidoreductases
152	EC:1.1.1.376	Oxidoreductases
153	EC:1.1.1.377	Oxidoreductases
154	EC:1.1.1.378	Oxidoreductases
155	EC:1.1.1.38	Oxidoreductases
156	EC:1.1.1.380	Oxidoreductases
157	EC:1.1.1.381	Oxidoreductases
158	EC:1.1.1.385	Oxidoreductases
159	EC:1.1.1.387	Oxidoreductases
160	EC:1.1.1.388	Oxidoreductases
161	EC:1.1.1.39	Oxidoreductases
162	EC:1.1.1.4	Oxidoreductases
163	EC:1.1.1.40	Oxidoreductases
164	EC:1.1.1.41	Oxidoreductases
165	EC:1.1.1.42	Oxidoreductases
166	EC:1.1.1.43	Oxidoreductases
167	EC:1.1.1.44	Oxidoreductases
168	EC:1.1.1.45	Oxidoreductases
169	EC:1.1.1.47	Oxidoreductases
170	EC:1.1.1.48	Oxidoreductases
171	EC:1.1.1.49	Oxidoreductases
172	EC:1.1.1.51	Oxidoreductases
173	EC:1.1.1.53	Oxidoreductases
174	EC:1.1.1.56	Oxidoreductases
175	EC:1.1.1.57	Oxidoreductases
176	EC:1.1.1.58	Oxidoreductases
177	EC:1.1.1.6	Oxidoreductases
178	EC:1.1.1.60	Oxidoreductases
179	EC:1.1.1.61	Oxidoreductases
180	EC:1.1.1.62	Oxidoreductases
181	EC:1.1.1.64	Oxidoreductases
182	EC:1.1.1.65	Oxidoreductases
183	EC:1.1.1.67	Oxidoreductases
184	EC:1.1.1.69	Oxidoreductases
185	EC:1.1.1.76	Oxidoreductases
186	EC:1.1.1.77	Oxidoreductases
187	EC:1.1.1.79	Oxidoreductases
188	EC:1.1.1.8	Oxidoreductases
189	EC:1.1.1.81	Oxidoreductases
190	EC:1.1.1.82	Oxidoreductases
191	EC:1.1.1.83	Oxidoreductases
192	EC:1.1.1.85	Oxidoreductases
193	EC:1.1.1.86	Oxidoreductases
194	EC:1.1.1.87	Oxidoreductases
195	EC:1.1.1.88	Oxidoreductases
196	EC:1.1.1.9	Oxidoreductases
197	EC:1.1.1.90	Oxidoreductases
198	EC:1.1.1.91	Oxidoreductases
199	EC:1.1.1.93	Oxidoreductases
200	EC:1.1.1.94	Oxidoreductases
201	EC:1.1.1.95	Oxidoreductases
202	EC:1.1.2.3	Oxidoreductases
203	EC:1.1.2.4	Oxidoreductases
204	EC:1.1.2.6	Oxidoreductases
205	EC:1.1.2.7	Oxidoreductases
206	EC:1.1.2.8	Oxidoreductases
207	EC:1.1.3.12	Oxidoreductases
208	EC:1.1.3.15	Oxidoreductases
209	EC:1.1.3.17	Oxidoreductases
210	EC:1.1.3.20	Oxidoreductases
211	EC:1.1.3.21	Oxidoreductases
212	EC:1.1.3.37	Oxidoreductases
213	EC:1.1.3.41	Oxidoreductases
214	EC:1.1.3.43	Oxidoreductases
215	EC:1.1.3.44	Oxidoreductases
216	EC:1.1.3.45	Oxidoreductases
217	EC:1.1.3.46	Oxidoreductases
218	EC:1.1.3.47	Oxidoreductases
219	EC:1.1.3.48	Oxidoreductases
220	EC:1.1.3.6	Oxidoreductases
221	EC:1.1.3.8	Oxidoreductases
222	EC:1.1.3.9	Oxidoreductases
223	EC:1.1.5.2	Oxidoreductases
224	EC:1.1.5.3	Oxidoreductases
225	EC:1.1.5.4	Oxidoreductases
226	EC:1.1.5.6	Oxidoreductases
227	EC:1.1.5.8	Oxidoreductases
228	EC:1.1.5.9	Oxidoreductases
229	EC:1.1.9.1	Oxidoreductases
230	EC:1.1.98.2	Oxidoreductases
231	EC:1.1.98.3	Oxidoreductases
232	EC:1.1.99.1	Oxidoreductases
233	EC:1.1.99.18	Oxidoreductases
234	EC:1.1.99.2	Oxidoreductases
235	EC:1.1.99.21	Oxidoreductases
236	EC:1.1.99.24	Oxidoreductases
237	EC:1.1.99.28	Oxidoreductases
238	EC:1.1.99.3	Oxidoreductases
239	EC:1.1.99.31	Oxidoreductases
240	EC:1.1.99.38	Oxidoreductases
241	EC:1.1.99.39	Oxidoreductases
242	EC:1.10.2.2	Oxidoreductases
243	EC:1.10.3.1	Oxidoreductases
244	EC:1.10.3.11	Oxidoreductases
245	EC:1.10.3.12	Oxidoreductases
246	EC:1.10.3.2	Oxidoreductases
247	EC:1.10.3.3	Oxidoreductases
248	EC:1.10.5.1	Oxidoreductases
249	EC:1.10.9.1	Oxidoreductases
250	EC:1.11.1.1	Oxidoreductases
251	EC:1.11.1.10	Oxidoreductases
252	EC:1.11.1.11	Oxidoreductases
253	EC:1.11.1.12	Oxidoreductases
254	EC:1.11.1.15	Oxidoreductases
255	EC:1.11.1.19	Oxidoreductases
256	EC:1.11.1.20	Oxidoreductases
257	EC:1.11.1.21	Oxidoreductases
258	EC:1.11.1.23	Oxidoreductases
259	EC:1.11.1.5	Oxidoreductases
260	EC:1.11.1.6	Oxidoreductases
261	EC:1.11.1.7	Oxidoreductases
262	EC:1.11.1.9	Oxidoreductases
263	EC:1.11.2.3	Oxidoreductases
264	EC:1.11.2.4	Oxidoreductases
265	EC:1.12.1.2	Oxidoreductases
266	EC:1.12.1.3	Oxidoreductases
267	EC:1.12.1.4	Oxidoreductases
268	EC:1.12.1.5	Oxidoreductases
269	EC:1.12.2.1	Oxidoreductases
270	EC:1.12.5.1	Oxidoreductases
271	EC:1.12.7.2	Oxidoreductases
272	EC:1.12.98.1	Oxidoreductases
273	EC:1.12.98.2	Oxidoreductases
274	EC:1.12.98.4	Oxidoreductases
275	EC:1.12.99.6	Oxidoreductases
276	EC:1.13.11.1	Oxidoreductases
277	EC:1.13.11.11	Oxidoreductases
278	EC:1.13.11.12	Oxidoreductases
279	EC:1.13.11.14	Oxidoreductases
280	EC:1.13.11.15	Oxidoreductases
281	EC:1.13.11.16	Oxidoreductases
282	EC:1.13.11.18	Oxidoreductases
283	EC:1.13.11.19	Oxidoreductases
284	EC:1.13.11.2	Oxidoreductases
285	EC:1.13.11.20	Oxidoreductases
286	EC:1.13.11.24	Oxidoreductases
287	EC:1.13.11.25	Oxidoreductases
288	EC:1.13.11.27	Oxidoreductases
289	EC:1.13.11.3	Oxidoreductases
290	EC:1.13.11.33	Oxidoreductases
291	EC:1.13.11.34	Oxidoreductases
