Class_or_Order_or_Family_or_genus	original_Phylum	new_Phylum
Oomycetes	NA	Gyrista
Xanthophyceae	NA	Gyrista
Phaeophyceae	NA	Gyrista
Choanoflagellida	NA	Choanozoa
Spirotrichea	NA	Ciliophora
Labyrinthulomycetes	NA	Bigyra
Heterotrichea	NA	Ciliophora
Oligohymenophorea	NA	Ciliophora
Protosteliales	NA	Amoebozoa
Acytosteliales	NA	Amoebozoa
Cercomonadida	NA	Cercozoa
Kinetoplastida	NA	Euglenozoa 
Hartmannellidae	NA	Amoebozoa
Reticulomyxidae	NA	Foraminifera
Caudovirales	NA	Uroviricota 
Iridoviridae	NA	Nucleocytoviricota 
Mimiviridae	NA	Nucleocytoviricota 
Tymovirales	NA	Kitrinoviricota 
Tymovirales	NA	Kitrinoviricota 
Picornavirales	NA	Pisuviricota
Nidovirales	NA	Pisuviricota
Ortervirales	NA	Artverviricota 
Solemoviridae	NA	Pisuviricota
Sphaerolipoviridae	NA	Dividoviricota 
Tectiviridae	NA	Preplasmiviricota
Tristromaviridae	NA	Taleaviricota
Totiviridae	NA	Duplornaviricota
Tombusviridae	NA	Kitrinoviricota
Virgaviridae	NA	Kitrinoviricota
Togaviridae	NA	Kitrinoviricota
Acantharea	NA	Retaria_incertae_sedis, 
Actinophryidae	NA	Stramenopiles_incertae_sedis, 
Armophorea	NA	Ciliophora, 
Aurearenophyceae	NA	Stramenopiles_incertae_sedis,
CandidatusBabeliae	NA	Bacteria_candidate_phyla, 
Chlorarachniophyceae	NA	Cercozoa, 
Chrysophyceae	NA	Stramenopiles_incertae_sedis,
Colpodea	NA	Ciliophora, 
Dictyochophyceae	NA	Stramenopiles_incertae_sedis, 
Dinophyceae	NA	Alveolata_incertae_sedis,
Entorrhizomycetes	NA	Dikarya_incertae_sedis,
Eustigmatophyceae	NA	Stramenopiles_incertae_sedis, 
Glaucocystophyceae	NA	Eukaryota_incertae_sedis, 
Haptophyceae	NA	Haptophyta,
Heterolobosea	NA	Heterolobosea, 
Hyphochytriomycetes	NA	Stramenopiles_incertae_sedis, 
Karyorelictea	NA	Ciliophora,
Katablepharidophyta	NA	Cryptophyceae, 
Litostomatea	NA	Ciliophora, 
Nassophorea	NA	Ciliophora,
Pelagophyceae	NA	Stramenopiles_incertae_sedis, 
Phaeothamniophyceae	NA	Stramenopiles_incertae_sedis, 
