Taxonomy_highest	Subphylum	Class	Taxonomy_intermediate	Taxonomy_intermediate.1	Taxonomy_intermediate.2	Taxonomy_intermediate.3	Taxonomy_intermediate.4	Taxonomy_genus
Ascomycota								Acremonium
Ascomycota								Alatospora
Ascomycota								Allantophoma
Ascomycota								Anguillospora
Ascomycota								Aphanocladium
Ascomycota								Aquaphila
Ascomycota								Bahusakala
Ascomycota								Berkleasmium
Ascomycota								Bispora
Ascomycota								Brachiosphaera
Ascomycota								Brachyconidiella
Ascomycota								Calcarisporium
Ascomycota								Cancellidium
Ascomycota								Cephaliophora
Ascomycota								Chaetasbolisia
Ascomycota								Cheiromoniliophora
Ascomycota								Cirrenalia
Ascomycota								Coniosporium
Ascomycota								Dichotomophthora
Ascomycota								Diehliomyces
Ascomycota								Duddingtonia
Ascomycota								Eladia
Ascomycota								Endoconidioma
Ascomycota								Engyodontium
Ascomycota								Flammispora
Ascomycota								Gliocephalis
Ascomycota								Goniopila
Ascomycota								Heliocephala
Ascomycota								Helminthosporium
Ascomycota								Hormococcus
Ascomycota								Humicola
Ascomycota								Hyphozyma
Ascomycota								Infundibulomyces
Ascomycota								Lecophagus
Ascomycota								Lemonniera
Ascomycota								Leptodontidium
Ascomycota								Lunulospora
Ascomycota								Microsphaeropsis
Ascomycota								Moniliella
Ascomycota								Mycochaetophora
Ascomycota								Neoplaconema
Ascomycota								Neta
Ascomycota								Ochroconis
Ascomycota								Orbimyces
Ascomycota								Paliphora
Ascomycota								Paracostantinella
Ascomycota								Phacellium
Ascomycota								Phaeoisariopsis
Ascomycota								Phaeomoniella
Ascomycota								Phaeosclera
Ascomycota								Phaeotheca
Ascomycota								Phialemonium
Ascomycota								Phialocephala
Ascomycota								Pleurophragmium
Ascomycota								Polyschema
Ascomycota								Pseudocladosporium
Ascomycota								Pseudodictyosporium
Ascomycota								Pseudosigmoidea
Ascomycota								Pseudotaeniolina
Ascomycota								Pulchromyces
Ascomycota								Rhizosphaera
Ascomycota								Rhynchosporium
Ascomycota								Robillarda
Ascomycota								Scleroconidioma
Ascomycota								Scolecobasidiella
Ascomycota								Scolecobasidium
Ascomycota								Sirococcus
Ascomycota								Sirodesmium
Ascomycota								Speiropsis
Ascomycota								Sphaerographium
Ascomycota								Sporendonema
Ascomycota								Sporidesmium
Ascomycota								Stanjemonium
Ascomycota								Symbiotaphrina
Ascomycota								Synchaetomella
Ascomycota								Termitaria
Ascomycota								Tetrachaetum
Ascomycota								Tetracladium
Ascomycota								Thermomyces
Ascomycota								Trichocladium
Ascomycota								Trichothecium
Ascomycota								Tricladium
Ascomycota								Tritirachium
Ascomycota								Troposporella
Ascomycota								Tumularia
Ascomycota								Verticimonosporium
Ascomycota								Xenobotrytis
Ascomycota								Xylomyces
Ascomycota								Zalerion
Ascomycota						Coniocybaceae		Chaenotheca
Ascomycota						Mastodiaceae		Mastodia
Ascomycota	Pezizomycotina							Asterosporium
Ascomycota	Pezizomycotina							Pleiochaeta
Ascomycota	Pezizomycotina							Sarcosagium
Ascomycota	Pezizomycotina							Torula
