log2FoldChange	pvalue
EC:3.1.7.9	2.55456067700659	0.000361400576948503
EC:3.1.1.76	2.182576221868	0.00311684909236949
EC:2.7.1.73	1.95515665358445	0.0079754925773434
EC:5.5.1.16	1.85779245872622	0.000268172174354976
EC:3.1.7.12	1.84678711561543	0.0141006974714764
EC:4.1.99.23	1.35298264214232	0.00813243004826367
EC:1.1.98.6	1.32217959870403	6.78060698958008e-15
EC:2.1.1.215	1.27075225672662	7.56251784786592e-12
EC:3.6.1.15	1.1595508309113	0.00852279471262292
EC:2.3.3.10	1.14688877672877	1.48519564656694e-17
EC:2.7.7.1	1.14031058730163	3.65286007835179e-10
EC:1.1.1.368	1.0998812007724	0.000117398349340672
EC:1.21.4.4	1.08425738242387	1.61882582743138e-07
EC:2.2.1.8	1.06187287791407	6.29359453836338e-05
EC:1.1.1.80	1.056651400359	0.00134735831337698
EC:1.3.7.8	1.03576005040522	7.1620010151259e-23
EC:2.1.1.106	0.944608154567244	0.000298276059492464
EC:3.1.21.7	0.903274154582776	2.94097865879927e-07
EC:3.1.3.8	0.871286871802532	1.75131302594833e-05
EC:1.14.99.39	0.866205715965355	0.000569397593095407
EC:7.2.1.2	0.858747390173676	7.13592373630466e-05
EC:2.1.1.272	0.844515201907377	7.62725462884159e-05
EC:3.7.1.21	0.837565243902451	0.000168750619762732
EC:2.1.1.254	0.836165273070471	1.39761331208046e-06
EC:2.5.1.41	0.826490493075226	8.02838243410448e-07
EC:1.16.3.2	0.797817000869162	0.000434882046511553
EC:5.3.1.26	0.786889766406957	8.14472062575378e-08
EC:3.7.1.12	0.776470327486896	1.21141061134375e-05
EC:7.2.4.5	0.760833161546043	0.000406530593284888
EC:4.1.99.12	0.745919422523289	0.000142863595116419
EC:2.1.1.151	0.737083201059008	0.000324276036420981
EC:2.1.1.180	0.736975357164002	0.00605411181150291
EC:2.3.1.28	0.734128760071049	0.0016863986049464
EC:2.1.3.9	0.733016655900821	1.27292921944769e-08
EC:1.8.5.5	0.727888615805635	7.3812578219736e-11
EC:3.5.3.24	0.714407645956217	2.87699472071858e-12
EC:2.1.1.235	0.71371086333479	7.26450994180466e-05
EC:3.4.22.8	0.713143025792865	0.00148965562262577
EC:3.1.21.3	0.708875765769208	0.00537299110728904
EC:3.4.21.111	0.707807319635582	1.12774621886843e-06
