log2FoldChange	pvalue
EC:3.6.4.6	3.27343503487573	3.65878601650803e-06
EC:1.14.15.9	2.83110566323956	0.00109835866246522
EC:1.6.2.2	2.80314513572338	5.8074870776244e-05
EC:3.1.3.79	2.4201439251665	0.000915477160590356
EC:1.3.1.93	2.36912834768636	0.00100550962910167
EC:4.1.1.25	2.36912834768636	0.00100550962910167
EC:1.1.1.34	2.31036842265789	2.34584609665084e-21
EC:2.5.1.76	2.2784052754809	0.0180718172298934
EC:4.2.1.5	2.18898967513394	0.0248037771664557
EC:1.2.99.7	2.17306240175117	2.3497721591279e-05
EC:2.6.1.64	2.14777352466368	6.90688225079197e-05
EC:2.6.1.7	2.14777352466368	6.90688225079197e-05
EC:4.4.1.13	2.14777352466368	6.90688225079197e-05
EC:2.3.1.48	2.09459050955934	7.84526381783457e-10
EC:5.1.3.22	1.8864904451146	0.00374906041545947
EC:4.1.99.2	1.75178840882603	2.39219585542643e-17
EC:2.4.1.117	1.74071465731705	4.2723590090795e-08
EC:3.6.3.9	1.73165705865485	4.25513518527881e-14
EC:2.7.4.26	1.73041130181515	1.69893902095503e-22
EC:4.2.1.114	1.69029576427233	8.70418005092299e-18
EC:2.2.1.10	1.67437206813334	0.00128452023685218
EC:1.1.1.87	1.66786368374527	1.18747631049237e-17
EC:1.1.1.374	1.65330366138376	0.000430564070721584
EC:2.3.2.4	1.62050314729721	5.38710374575603e-11
EC:4.3.1.2	1.61953274456856	3.27799345361047e-05
EC:2.3.3.8	1.57417893639662	6.40869927014841e-13
EC:3.2.1.136	1.55301113516842	0.00237820067367396
EC:1.3.1.31	1.51126631811055	0.000827678983807262
EC:1.4.1.24	1.50073141676524	0.00659879274701097
EC:2.7.7.61	1.49284698118055	3.75146757891528e-07
EC:1.1.1.51	1.47492717111631	1.93887662254162e-11
EC:6.2.1.22	1.46280558794732	4.62245597735172e-07
EC:2.7.8.39	1.46010843619364	0.00693067292671244
EC:6.3.2.43	1.45392743412661	6.79294820500641e-25
EC:1.3.99.5	1.43361952027287	1.2924244820673e-13
EC:2.1.1.206	1.42542732913158	0.0164084388976721
EC:2.4.2.48	1.42542732913158	0.0164084388976721
EC:2.5.1.108	1.42542732913158	0.0164084388976721
EC:2.5.1.41	1.42542732913158	0.0164084388976721
EC:2.5.1.89	1.42542732913158	0.0164084388976721
EC:2.7.1.161	1.42542732913158	0.0164084388976721
EC:2.7.1.169	1.42542732913158	0.0164084388976721
EC:4.1.3.44	1.42542732913158	0.0164084388976721
EC:6.3.4.22	1.42542732913158	0.0164084388976721
EC:3.1.12.1	1.42159075242718	2.97031900906036e-23
EC:1.8.7.2	1.42049538315083	1.55752212463011e-08
EC:6.3.2.36	1.41736493950901	0.0176029347749751
EC:2.1.1.215	1.41012138910867	0.0172222167675592
EC:2.1.1.216	1.41012138910867	0.0172222167675592
EC:6.3.4.23	1.40744414480662	0.0211810330845323
EC:4.1.2.19	1.40459642656211	1.10779581441992e-18
EC:2.4.1.217	1.40430811049887	0.0192010316571911
EC:2.1.1.98	1.40211974584078	0.0183296402395749
EC:3.1.1.96	1.40211974584078	0.0183296402395749
EC:3.1.27.9	1.39596011256715	0.0222230593093578
EC:2.7.8.15	1.39593884017356	0.0194459755853143
EC:3.5.4.29	1.39593884017356	0.0194459755853143
EC:3.4.23.51	1.3862682833458	0.0219491399152649
EC:1.13.11.52	1.38485864065769	4.3503918275786e-18
EC:1.14.99.29	1.37209402419689	0.0216954449498619
EC:2.1.1.260	1.37209402419689	0.0216954449498619
EC:1.5.98.2	1.36312031027846	1.3828317017356e-06
EC:2.1.1.86	1.35457126860167	0.00369690653086244
EC:1.5.3.7	1.35225421649902	0.00320309401190684
EC:1.2.7.5	1.34864022820622	1.88030377277796e-19
EC:1.1.99.24	1.3470198820618	0.00398304232773275
EC:4.1.3.43	1.34463966809597	4.47526525551555e-10
EC:1.2.1.87	1.34186784851227	2.52721126253291e-10
EC:5.1.3.8	1.34168777380686	2.33102191469988e-16
EC:1.14.13.10	1.34155601271297	0.00386446335011834
EC:1.1.1.8	1.33519937222731	7.34864033246879e-08
EC:4.1.1.79	1.31326305200019	2.50966269816563e-10
EC:1.1.1.140	1.30927782713294	0.000208405678318613
EC:5.4.3.5	1.27708163850918	0.00295637871050242
EC:2.7.1.165	1.25691390843737	0.0135142362941126
EC:4.2.1.132	1.24130709348491	2.94785039198645e-09
EC:1.14.15.3	1.22500573926572	7.98040840955505e-20
EC:2.4.1.20	1.22418392778273	0.00357063381542663
EC:2.5.1.42	1.21424213295744	0.00930883229511745
EC:2.1.1.196	1.21268241893927	9.245586071178e-06
EC:2.7.1.182	1.20139284228292	0.000287564769965711
EC:3.7.1.9	1.19779558378572	9.16628506141249e-07
EC:3.13.1.1	1.19580040876204	2.74419752395642e-13
EC:6.2.1.2	1.17854046247566	0.0152923094595506
EC:4.1.1.70	1.15474740485658	0.0023126043096022
EC:2.1.1.95	1.11795278884362	0.0180568906780895
EC:1.2.7.4	1.11785888211421	3.02104463644371e-07
EC:2.8.3.10	1.11385353026483	1.86629482477991e-05
EC:1.3.1.101	1.09808577081353	0.0224441827412628
EC:1.3.7.11	1.09808577081353	0.0224441827412628
EC:4.1.3.16	1.09656585883414	4.47965484177557e-14
EC:2.1.1.289	1.09354575374675	5.45949896020742e-09
EC:2.4.1.19	1.08524657815379	0.0125034206344765
EC:2.3.1.223	1.07773924535957	5.47160197995824e-07
EC:1.7.2.2	1.05683154352545	5.36997065636686e-10
EC:1.2.1.43	1.05483289730826	1.02745918614247e-11
EC:1.2.1.59	1.04880844081374	0.00241480090538524
EC:3.1.3.70	1.04855225121314	1.62557960458934e-10
EC:2.7.1.1	1.04771424406697	0.00027716288648036
EC:3.4.14.4	1.04679045545675	4.33987550200531e-15
EC:2.5.1.84	1.04477292585555	0.0016467018651124
EC:2.5.1.85	1.04477292585555	0.0016467018651124
EC:2.7.10.2	1.03426020214458	1.92636392732423e-17
EC:2.1.1.295	1.03175234709798	0.00305117611159046
EC:2.4.99.18	1.03119177741307	0.00991322105693262
EC:1.1.1.302	1.01923917119667	0.00550272114297916
EC:1.1.1.325	0.999034045566774	0.017852139841058
EC:3.2.1.122	0.982707135850495	0.00130628791162263
EC:1.3.99.32	0.980298282042765	1.69065911653703e-12
EC:5.4.99.1	0.96538797295118	4.10029012073216e-06
EC:5.3.3.1	0.951788732793734	7.97020524973139e-08
EC:2.6.1.36	0.951421300284341	7.25507930337502e-10
EC:2.5.1.77	0.918760743013269	0.00970221577215306
EC:1.8.99.2	0.894663652872141	2.39629840198501e-05
EC:2.4.1.247	0.89039000297068	0.00984051771919731
EC:1.10.9.1	0.881314611358737	3.98268218597747e-06
EC:1.2.7.1	0.87699652029094	1.4364109203303e-12
EC:1.8.98.1	0.871241204297517	2.81026039220688e-09
EC:1.13.11.33	0.870425466686889	0.0203312645019916
EC:1.12.1.2	0.863354994389077	0.000134646519193796
EC:2.6.1.83	0.843509693940204	1.0981031338952e-12
EC:2.1.1.258	0.841457145145633	0.000520676616465492
EC:3.2.1.70	0.840816114079372	0.0131502019203574
EC:1.8.99.3	0.807612187426246	0.000202332893847299
EC:1.8.99.5	0.807612187426246	0.000202332893847299
EC:1.12.1.3	0.79842383267601	7.86596157890516e-05
EC:3.4.21.96	0.797389224386145	0.00206917953856647
EC:2.7.1.3	0.791276398360622	0.000794193678272312
EC:1.3.1.45	0.790712933267902	2.26234341024991e-15
EC:1.2.1.5	0.771912031326717	3.23663171589301e-06
EC:1.13.11.25	0.765566473702503	1.70251775069986e-09
EC:1.1.1.281	0.757418063496915	2.19070904939384e-17
EC:5.1.1.17	0.751450005933843	1.03763968745223e-12
EC:1.5.1.47	0.744558738437687	3.11121788303998e-06
EC:3.4.21.66	0.72907566614305	0.00222046319100177
EC:4.1.1.21	0.727272316532077	0.0288124464355594
EC:2.3.1.193	0.717744937435898	0.00147510413393474
