COG_letter	COG_description	COG_category	COG_number	annotation	cluster
A	Regulator of RNase E activity RraB	RNA processing and modification	COG3076	A:[RNA processing and modification]	1
S	Uncharacterized conserved protein YjaG, DUF416 family	Function unknown	COG3068	S:[Function unknown]	1
C	Soluble cytochrome b562	Energy production and conversion	COG3783	C:[Energy production and conversion]	1
O	Secreted/periplasmic Zn-dependent peptidases, insulinase-like	Posttranslational modification, protein turnover, chaperones	COG1025	O:[Posttranslational modification, protein turnover, chaperones]	1
M	Outer membrane protease	Cell wall/membrane/envelope biogenesis	COG4571	M:[Cell wall/membrane/envelope biogenesis]	1
C	Na+/H+ antiporter NhaB	Energy production and conversion	COG3067	C:[Energy production and conversion]	1
D	Cell division inhibitor SulA, prevents FtsZ ring assembly	Cell cycle control, cell division, chromosome partitioning	COG5404	D:[Cell cycle control, cell division, chromosome partitioning]	1
S	Uncharacterized membrane protein Smp affecting hemolysin expression	Function unknown	COG3726	S:[Function unknown]	1
S	Uncharacterized conserved protein YqcC, DUF446 family	Function unknown	COG3098	S:[Function unknown]	1
K	Transcriptional antiterminator Rof (Rho-off)	Transcription	COG4568	K:[Transcription]	1
L	dsDNA-binding nucleoid-associated protein YejK/NdpA	Replication, recombination and repair	COG3081	L:[Replication, recombination and repair]	1
K	Transcriptional regulator TyrR of aromatic amino acids metabolism	Transcription	COG3283	K:[Transcription]	1
M	LPS O-antigen chain length determinant protein, WzzB/FepE family	Cell wall/membrane/envelope biogenesis	COG3765	M:[Cell wall/membrane/envelope biogenesis]	1
S	Dual-topology membrane protein YdgC, GlpM family	Function unknown	COG3136	S:[Function unknown]	1
R	Uncharacterized Ca-binding beta-propeller protein YjiK	General function prediction only	COG3204	R:[General function prediction only]	1
E	Na+/serine and Na+/threonine symporter SstT	Amino acid transport and metabolism	COG3633	E:[Amino acid transport and metabolism]	1
M	Periplasmic lipoprotein LptM/YifL, part of outer membrane beta-barrel assembly machinery	Cell wall/membrane/envelope biogenesis	COG5567	M:[Cell wall/membrane/envelope biogenesis]	1
V	Restriction endonuclease Mrr	Defense mechanisms	COG1715	V:[Defense mechanisms]	1
R	Phosphate starvation-inducible membrane PsiE (function unknown)	General function prediction only	COG3223	R:[General function prediction only]	1
V	HigB/gp49-like toxin component of RelE/ParE type II toxin-antitoxin system	Defense mechanisms	COG4683	V:[Defense mechanisms]	1
J	Ribosome modulation factor	Translation, ribosomal structure and biogenesis	COG3130	J:[Translation, ribosomal structure and biogenesis]	1
J	23S rRNA A1618 N6-methylase RlmF	Translation, ribosomal structure and biogenesis	COG3129	J:[Translation, ribosomal structure and biogenesis]	1
M	Rhamnose/hydroxycephalosporin O-methyltransferase, CmcI/Rv2959c family	Cell wall/membrane/envelope biogenesis	COG3510	M:[Cell wall/membrane/envelope biogenesis]	1
E	2-oxoadipate dioxygenase/decarboxylase HglS/YdcJ family	Amino acid transport and metabolism	COG5383	E:[Amino acid transport and metabolism]	1
K	Regulator of sigma D	Transcription	COG3160	K:[Transcription]	1
G	Phosphotransferase system IIB components	Carbohydrate transport and metabolism	COG1264	G:[Carbohydrate transport and metabolism]	1
O	Serine protease inhibitor ecotin	Posttranslational modification, protein turnover, chaperones	COG4574	O:[Posttranslational modification, protein turnover, chaperones]	1
R	Predicted carbohydrate-binding protein, contains CBM5 and CBM33 domains	General function prediction only	COG3397	R:[General function prediction only]	1
T	Fido, protein-threonine AMPylation domain	Signal transduction mechanisms	COG2184	T:[Signal transduction mechanisms]	1
S	Uncharacterized conserved protein YdgA, DUF945 family	Function unknown	COG5339	S:[Function unknown]	1
G	Maltoporin (phage lambda and maltose receptor)	Carbohydrate transport and metabolism	COG4580	G:[Carbohydrate transport and metabolism]	1
K	Predicted transcriptional regulator YheO, contains PAS and DNA-binding HTH domains	Transcription	COG2964	K:[Transcription]	1
P	ABC-type Fe3+-citrate transport system, periplasmic component	Inorganic ion transport and metabolism	COG4594	P:[Inorganic ion transport and metabolism]	1
M	Nucleoside-specific outer membrane channel protein Tsx	Cell wall/membrane/envelope biogenesis	COG3248	M:[Cell wall/membrane/envelope biogenesis]	1
Q	Phenolic acid decarboxylase	Secondary metabolites biosynthesis, transport and catabolism	COG3479	Q:[Secondary metabolites biosynthesis, transport and catabolism]	1
V	Predicted ribonuclease, toxin component of the YeeF-YezG toxin-antitoxin module	Defense mechanisms	COG5444	V:[Defense mechanisms]	1
E	Urea transporter	Amino acid transport and metabolism	COG4413	E:[Amino acid transport and metabolism]	1
D	Cell division protein ZipA, interacts with FtsZ	Cell cycle control, cell division, chromosome partitioning	COG3115	D:[Cell cycle control, cell division, chromosome partitioning]	1
T	Adenylate cyclase, class I	Signal transduction mechanisms	COG3072	T:[Signal transduction mechanisms]	1
U	ESX protein secretion system component YukC	Intracellular trafficking, secretion, and vesicular transport	COG4499	U:[Intracellular trafficking, secretion, and vesicular transport]	1
M	Uncharacterized conserved protein probably involved in high-affinity Fe2+ transport	Cell wall/membrane/envelope biogenesis	COG3470	M:[Cell wall/membrane/envelope biogenesis]	1
D	Membrane-anchored cell division protein YhcB, DUF1043 family	Cell cycle control, cell division, chromosome partitioning	COG3105	D:[Cell cycle control, cell division, chromosome partitioning]	1
J	Ribosome 50S subunit-binding protein YggL, DUF469 family	Translation, ribosomal structure and biogenesis	COG3171	J:[Translation, ribosomal structure and biogenesis]	1
J	Elongation factor P hydroxylase EpmC	Translation, ribosomal structure and biogenesis	COG3101	J:[Translation, ribosomal structure and biogenesis]	1
S	Stress response protein YsnF (function unknown)	Function unknown	COG3861	S:[Function unknown]	1
J	tRNA U34 sulfur transfer complex TusBCD TusB component, DsrH family	Translation, ribosomal structure and biogenesis	COG2168	J:[Translation, ribosomal structure and biogenesis]	1
J	tRNA U34 sulfur transfer complex TusBCD TusC component, DsrF family	Translation, ribosomal structure and biogenesis	COG2923	J:[Translation, ribosomal structure and biogenesis]	1
J	tRNA A22 N1-methylase	Translation, ribosomal structure and biogenesis	COG2384	J:[Translation, ribosomal structure and biogenesis]	1
